Comunidad_Autonoma,Año,Trimestre,Periodo,Valor_Tasado_€_m2
Huelva,1997,2,1997T2,516.3
Huesca,1997,2,1997T2,489.6
Jaén,1997,2,1997T2,393.4
León,1997,2,1997T2,540.1
Lleida,1997,2,1997T2,512.5
Lugo,1997,2,1997T2,468.2
Madrid (Comunidad de),1997,2,1997T2,1041.7
Murcia (Región de),1997,2,1997T2,442.1
Málaga,1997,2,1997T2,544.1
Navarra (Comunidad Foral de),1997,2,1997T2,794.8
Ourense,1997,2,1997T2,600.2
Palencia,1997,2,1997T2,561.2
Palmas (Las),1997,2,1997T2,700.9
País Vasco,1997,2,1997T2,953.4
Pontevedra,1997,2,1997T2,616.7
Rioja (La),1997,2,1997T2,611.0
Salamanca,1997,2,1997T2,685.4
Santa Cruz de Tenerife,1997,2,1997T2,644.9
Segovia,1997,2,1997T2,653.6
Sevilla,1997,2,1997T2,510.8
Soria,1997,2,1997T2,731.3
TOTAL NACIONAL,1997,2,1997T2,726.4
Tarragona,1997,2,1997T2,505.6
Teruel,1997,2,1997T2,494.1
Toledo,1997,2,1997T2,477.8
Valencia/València,1997,2,1997T2,505.5
Valladolid,1997,2,1997T2,661.6
Zamora,1997,2,1997T2,499.5
Zaragoza,1997,2,1997T2,600.3
Ávila,1997,2,1997T2,600.1
Albacete,1997,3,1997T3,479.0
Alicante/Alacant,1997,3,1997T3,518.8
Almería,1997,3,1997T3,499.9
Andalucía,1997,3,1997T3,510.6
Araba/Alava,1997,3,1997T3,990.1
Aragón,1997,3,1997T3,585.6
Asturias (Principado de ),1997,3,1997T3,695.0
Badajoz,1997,3,1997T3,395.1
Balears (Illes),1997,3,1997T3,640.8
Barcelona,1997,3,1997T3,929.7
Bizkaia,1997,3,1997T3,934.0
Burgos,1997,3,1997T3,758.1
Canarias,1997,3,1997T3,676.2
Cantabria,1997,3,1997T3,771.1
Castellón/Castelló,1997,3,1997T3,507.9
Castilla y León,1997,3,1997T3,646.3
Castilla-La Mancha,1997,3,1997T3,539.6
Cataluña,1997,3,1997T3,792.9
Ciudad Real,1997,3,1997T3,443.4
Comunidad Valenciana,1997,3,1997T3,522.4
Coruña (A),1997,3,1997T3,657.9
Cuenca,1997,3,1997T3,458.2
Cáceres,1997,3,1997T3,421.2
Cádiz,1997,3,1997T3,515.1
Córdoba,1997,3,1997T3,490.4
Extremadura,1997,3,1997T3,403.9
Galicia,1997,3,1997T3,618.8
Gipuzkoa,1997,3,1997T3,962.3
Girona,1997,3,1997T3,625.8
Granada,1997,3,1997T3,490.2
Guadalajara,1997,3,1997T3,635.0
Huelva,1997,3,1997T3,517.6
Huesca,1997,3,1997T3,492.1
Jaén,1997,3,1997T3,389.4
León,1997,3,1997T3,551.2
Lleida,1997,3,1997T3,510.3
Lugo,1997,3,1997T3,456.5
Madrid (Comunidad de),1997,3,1997T3,1052.2
Murcia (Región de),1997,3,1997T3,445.8
Málaga,1997,3,1997T3,551.8
Navarra (Comunidad Foral de),1997,3,1997T3,814.7
Ourense,1997,3,1997T3,626.1
Palencia,1997,3,1997T3,572.1
Palmas (Las),1997,3,1997T3,697.8
País Vasco,1997,3,1997T3,943.6
Pontevedra,1997,3,1997T3,604.2
Rioja (La),1997,3,1997T3,615.2
Salamanca,1997,3,1997T3,681.4
Santa Cruz de Tenerife,1997,3,1997T3,654.0
Segovia,1997,3,1997T3,644.6
Sevilla,1997,3,1997T3,516.3
Soria,1997,3,1997T3,694.8
